label,N,weight,rank,torsion,CM,root,osc_all,osc_pr
$\Delta$,1,12,---,---,N,+1,,
11a1,11,2,0,$\mathbb{Z}/5\mathbb{Z}$,N,+1,,
11a2,11,2,0,0,N,+1,,
11a3,11,2,0,$\mathbb{Z}/5\mathbb{Z}$,N,+1,,
14a1,14,2,0,$\mathbb{Z}/6\mathbb{Z}$,N,+1,,
14a2,14,2,0,$\mathbb{Z}/6\mathbb{Z}$,N,+1,,
14a3,14,2,0,$\mathbb{Z}/2\mathbb{Z}$,N,+1,,
14a4,14,2,0,$\mathbb{Z}/6\mathbb{Z}$,N,+1,,
14a5,14,2,0,$\mathbb{Z}/2\mathbb{Z}$,N,+1,,
14a6,14,2,0,$\mathbb{Z}/6\mathbb{Z}$,N,+1,,
15a1,15,2,0,$\mathbb{Z}/2\mathbb{Z} \times \mathbb{Z}/4\mathbb{Z}$,N,+1,,
15a2,15,2,0,$\mathbb{Z}/2\mathbb{Z} \times \mathbb{Z}/2\mathbb{Z}$,N,+1,,
15a3,15,2,0,$\mathbb{Z}/2\mathbb{Z} \times \mathbb{Z}/4\mathbb{Z}$,N,+1,,
15a4,15,2,0,$\mathbb{Z}/8\mathbb{Z}$,N,+1,,
15a5,15,2,0,$\mathbb{Z}/2\mathbb{Z}$,N,+1,,
15a6,15,2,0,$\mathbb{Z}/2\mathbb{Z}$,N,+1,,
15a7,15,2,0,$\mathbb{Z}/4\mathbb{Z}$,N,+1,,
15a8,15,2,0,$\mathbb{Z}/4\mathbb{Z}$,N,+1,,
17a1,17,2,0,$\mathbb{Z}/4\mathbb{Z}$,N,+1,,
17a2,17,2,0,$\mathbb{Z}/2\mathbb{Z} \times \mathbb{Z}/2\mathbb{Z}$,N,+1,,
17a3,17,2,0,$\mathbb{Z}/2\mathbb{Z}$,N,+1,,
17a4,17,2,0,$\mathbb{Z}/4\mathbb{Z}$,N,+1,,
19a1,19,2,0,$\mathbb{Z}/3\mathbb{Z}$,N,+1,,
19a2,19,2,0,0,N,+1,,
19a3,19,2,0,$\mathbb{Z}/3\mathbb{Z}$,N,+1,,
20a1,20,2,0,$\mathbb{Z}/6\mathbb{Z}$,N,+1,,
20a2,20,2,0,$\mathbb{Z}/6\mathbb{Z}$,N,+1,,
20a3,20,2,0,$\mathbb{Z}/2\mathbb{Z}$,N,+1,,
20a4,20,2,0,$\mathbb{Z}/2\mathbb{Z}$,N,+1,,
21a1,21,2,0,$\mathbb{Z}/2\mathbb{Z} \times \mathbb{Z}/4\mathbb{Z}$,N,+1,,
21a2,21,2,0,$\mathbb{Z}/2\mathbb{Z} \times \mathbb{Z}/2\mathbb{Z}$,N,+1,,
21a3,21,2,0,$\mathbb{Z}/8\mathbb{Z}$,N,+1,,
21a4,21,2,0,$\mathbb{Z}/4\mathbb{Z}$,N,+1,,
21a5,21,2,0,$\mathbb{Z}/2\mathbb{Z}$,N,+1,,
21a6,21,2,0,$\mathbb{Z}/2\mathbb{Z}$,N,+1,,
24a1,24,2,0,$\mathbb{Z}/2\mathbb{Z} \times \mathbb{Z}/4\mathbb{Z}$,N,+1,,
24a2,24,2,0,$\mathbb{Z}/2\mathbb{Z} \times \mathbb{Z}/2\mathbb{Z}$,N,+1,,
24a3,24,2,0,$\mathbb{Z}/4\mathbb{Z}$,N,+1,,
24a4,24,2,0,$\mathbb{Z}/4\mathbb{Z}$,N,+1,,
24a5,24,2,0,$\mathbb{Z}/2\mathbb{Z}$,N,+1,,
24a6,24,2,0,$\mathbb{Z}/2\mathbb{Z}$,N,+1,,
26a1,26,2,0,$\mathbb{Z}/3\mathbb{Z}$,N,+1,,
26a2,26,2,0,0,N,+1,,
26a3,26,2,0,$\mathbb{Z}/3\mathbb{Z}$,N,+1,,
26b1,26,2,0,$\mathbb{Z}/7\mathbb{Z}$,N,+1,,
26b2,26,2,0,0,N,+1,,
27a1,27,2,0,$\mathbb{Z}/3\mathbb{Z}$,Y,+1,,
27a2,27,2,0,0,Y,+1,,
27a3,27,2,0,$\mathbb{Z}/3\mathbb{Z}$,Y,+1,,
